city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features,cluster
Firenze,0.0053928290899073,17.130203528797377,104,Piazza della Vittoria,508,4.0580283313616645,0.9786,68952,1.3542145741370617,0.3888888888888889,0.3806233030424225,32,1,71,1
Firenze,0.0067539440888906,2.4417777317285303,106,Piazza Torquato Tasso,152,4.04882764537937,0.8126,46706,1.0762955315498413,0.5,0.567676747948361,30,6,70,1
Firenze,0.0513333288463838,1.5383308292672455,90,Parco di Villa Vogel,78,4.031287803932965,0.9906,59290,0.6684485070741168,0.3333333333333333,0.683118803201532,75,0,15,1
Firenze,0.0631513417892372,0.9769318914535988,59,Scuola di Ingegneria,27,4.046361638489723,0.9487,49768,0.7629796636534327,0.1666666666666666,0.4308538549089507,19,0,40,1
Firenze,0.0020601487926908,27.56560469338564,57,Piazza Giacomo Puccini,13,4.036158987270098,0.5751,42084,0.742902970016914,0.2777777777777778,0.833028017004745,11,1,45,1
Firenze,0.0655016307361256,24.02433746267367,107,Giardino Storico della Villa Medicea di Castello,884,4.252332808190193,0.9954,56449,0.9111144082614164,0.2777777777777778,0.5083295412637874,44,5,58,1
Firenze,0.0307789103110493,17.351667699582578,43,Parco Corsini,235,4.051315814936201,0.9894,37803,1.0524143826189822,0.3333333333333333,0.4796344194508842,16,2,25,1
Firenze,0.1682295023866668,2.436150500534902,63,Parco Argingrosso,354,4.093261826996766,0.9891,44738,0.7277579979141762,0.3333333333333333,0.833028017004745,52,0,11,1
Firenze,0.0040419950816744,1.185246447063364,121,Orti del Parnaso,649,4.213812397970813,0.9773,57763,0.9288832410075092,0.3333333333333333,0.3806233030424225,22,2,97,1
Firenze,0.0019945736581163,0.6287481707985472,86,Giardino dei Giusti,136,4.082149313492597,0.9786,52976,0.62909195827818,0.2777777777777778,0.3806233030424225,10,1,75,1
Firenze,0.0048842177069485,6.462405884397512,85,Giardini di Via Morandi,19,4.046811600332727,0.9778,51518,0.385266963573956,0.1111111111111111,0.5239534037992686,11,0,74,1
Firenze,0.042470620691806,13.684149293647202,137,Giardino Don Renzo Forconi,217,4.089340495024332,0.9912,49844,0.3039417199461783,0.1666666666666666,0.222675308049268,10,0,127,1
Firenze,0.024157340030963,4.377350274650661,49,Parco Masaccio,5,4.043396138182867,0.8074,49288,0.8265029858898034,0.2222222222222222,0.4799650218746051,17,0,32,1
Firenze,0.0505355038855313,0.699442978342411,91,Parco del Ventaglio,673,4.124007504007504,0.9946,46723,0.6909862705655632,0.2222222222222222,0.4266301533600348,24,1,66,1
Firenze,0.0123137420279693,72.59797696038356,118,Le Montagnole,17,4.041904698519876,0.5468,48436,1.326334259639636,0.5555555555555556,0.6234038743878274,48,4,66,1
Rotterdam,0.0372855119172232,100.0,73,Schuttersveld,21,3.850819823139278,0.9782,30672,0.4122555136723261,0.2222222222222222,0.49577045242886,66,3,4,1
Rotterdam,0.0153597261552184,100.0,132,Park Het Oude Westen,348,3.895464667458432,0.9666,42784,1.1948129157022092,0.5,0.3947813943788172,11,6,115,1
Rotterdam,0.2278367114488203,100.0,109,Prinsenpark,1023,4.170819203052141,0.9862,38591,0.9506396349923196,0.3888888888888889,0.643637728659949,79,1,29,1
Rotterdam,0.373367891568806,67.69536124311503,136,Park de Buitenplaats,10,3.8493034918276376,0.4197,59942,0.3196751511512616,0.2777777777777778,0.5831436679321538,128,0,8,1
Rotterdam,0.0109056875872579,74.4809213941369,98,Historische Tuin Schoonoord,567,4.0977732527588016,0.9977,55957,0.3511832508773999,0.1111111111111111,0.5013353043917168,11,0,87,1
Rotterdam,0.0168402207990144,51.570186109026814,140,Ons Park,51,3.836959264599856,0.9911,60981,0.7872750879539584,0.3888888888888889,0.4981454402342126,17,5,118,1
Rotterdam,0.2342469325494449,100.0,130,Pernisserpark,268,3.9019716334164585,0.9713,46051,0.803755643357605,0.2222222222222222,0.392203530966993,36,0,94,1
Rotterdam,0.0251490822161223,5.947529647996976,48,Nieuwe Plantage,122,3.872127914951989,0.9927,47028,1.0468512136776291,0.3333333333333333,0.2905842810469917,33,3,12,1
Utrecht,0.0111045930037423,100.0,142,H.J. Schimmelplein,455,4.19903605535319,0.9898,52903,0.8271413698885794,0.4444444444444444,0.302681540814946,10,0,132,1
Utrecht,0.4941917540307939,93.11574237206698,105,Landgoed Oostbroek,624,4.193976814275008,0.9866,52053,1.0383649642979644,0.2777777777777778,0.2483066632836964,66,0,39,1
Utrecht,0.050316396847343,100.0,121,Park de Watertoren,5,4.118421046871751,0.9463,31568,1.475096565561578,0.4444444444444444,0.5983572816830354,51,1,69,1
Utrecht,0.0442315470468768,100.0,122,Kasteelpark,20,4.124519641656363,0.9878,54205,0.9999614101657682,0.3888888888888889,0.7269112851576565,85,2,35,1
Utrecht,0.1080877219902565,43.776745119990544,70,Achterbos,39,4.122888243053396,0.9783,57742,0.9652381776522276,0.2222222222222222,0.6797338980267329,44,0,26,1
Utrecht,0.0354474748916837,66.5629851582972,103,Mauritspark,97,4.115458382156226,0.9428,37512,0.6658247202243209,0.2222222222222222,0.6207155205728133,17,0,86,1
Utrecht,0.5992393044792921,100.0,35,Huis Te Linschoten,159,4.114930443578675,0.9577,36294,1.577928448452662,0.3333333333333333,0.4502045947791374,5,0,30,1
Utrecht,0.085647228528169,74.97208490311259,114,Natuurpark Bloeyendael,174,4.143326446280992,0.9927,40265,0.9468763545246062,0.4444444444444444,0.3788936365507492,87,4,23,1
Utrecht,0.3063563115911036,61.63328139469193,92,Park Aardenburg,5,4.117819144861398,0.9371,44482,0.7459340916766336,0.3888888888888889,0.3434900664649775,76,2,14,1
Lille,0.006839107,23.32083892,57,Square de la Porte d'Arras,10,3.877983531,0.986,50118,0.937835399297546,0.2777777777777778,0.426455567503615,18,0,39,1
Lille,0.007928314,48.7913914,28,Jardin de la Treille,11,3.881725313,0.9705,46182,1.6712856339393642,0.3888888888888889,0.6186053504803162,9,1,18,1
Lille,0.044280736,6.323639013,106,FaÃÂ§ade de l'Esplanade,953,4.091552723,0.9921,42174,0.8794274487692374,0.5555555555555556,0.8811358953796165,9,2,95,1
Lille,0.03289096,35.30201082,68,Plaine des Vachers,23,3.885822575,0.8471,55405,1.6471420011920994,0.5,0.5264218177654902,19,0,49,1
Lille,0.014030581,64.38594316,74,Jardin des GÃÂ©ants,882,4.113525941,0.9894,60921,1.3590029671081572,0.3333333333333333,0.497379636549211,42,1,31,1
Lille,0.033689383,12.56842969,72,Ferme PÃÂ©dagogique de Lomme,15,3.880232919,0.9794,48855,0.7085815342437357,0.1666666666666666,0.6034309507911211,22,0,50,1
Lille,0.027649341,70.55869739,66,Parc des Charmettes,330,3.941957609,0.979,37726,0.6696191901497234,0.2777777777777778,0.5714648276491354,10,0,56,1
Lille,0.00208895,28.86439033,22,Square des Tisserands,241,3.926437556,0.9862,56433,1.489591381746015,0.3333333333333333,0.4953520947272373,3,0,19,1
Lille,0.001426119,24.77804332,12,Square Ada Lovelace,355,3.995229601,0.9938,56417,1.820075975360621,0.3888888888888889,0.5264218177654902,5,0,7,1
Lille,0.039980329,11.28472593,30,Jardin des Perspectives,385,3.968442377,0.9974,52168,1.4184836619456564,0.4444444444444444,0.4407564861435153,19,1,10,1
Lille,0.019907819,22.05733338,51,Parc Jean-Louis Borloo,154,3.89424351,0.9755,61622,1.2864930160971648,0.2777777777777778,0.4583511859706387,25,0,26,1
Lille,0.715362275,0.0,16,Parc du Vert Bois (fondation Septentrion),12,3.882173879,0.9863,45134,0.3767701612564367,0.1111111111111111,0.4343344480736653,14,2,0,1
Venezia,0.0101019986852521,42.41414120473095,117,Parco Savorgnan,611,3.748829070132692,0.9825,37722,1.6420812333322254,0.4444444444444444,0.6032927139534381,30,9,78,1
Venezia,0.0289803563978178,100.0,126,Parco della Pace,233,3.71255715178638,0.99,48853,0.9703496853426984,0.3888888888888889,0.387281295049636,26,3,97,1
Napoli,0.016564604848994,5.70932962061624,61,Parco Viviani,671,4.118559821621215,0.9472,47793,1.4537139281324905,0.4444444444444444,0.4650089816146989,30,1,30,1
Napoli,0.0235807333141696,10.265010432084592,32,Parco pubblico Lungomare Pertini,208,4.120332484297655,0.9874,55199,1.1883498783840392,0.2222222222222222,0.5408763590942186,17,7,8,1
Napoli,0.0656574482224757,2.040881079108392,60,Pineta Mirtina,502,4.127572603586311,0.9823,55109,1.748155457247676,0.5,0.4589960159808504,25,9,26,1
Napoli,0.0078656425373739,0.9443746651480098,41,Pineta Nenzi Bozzi,7,4.130210098622652,0.8167,54599,1.2223414270149733,0.3888888888888889,0.4589960159808504,25,2,14,1
Napoli,0.0178352226937706,1.2787695475883936,51,Edgardo Cortese,46,4.131794098371012,0.9524,52672,1.3847030932005466,0.4444444444444444,0.4589960159808504,30,4,17,1
Napoli,0.0512957077853434,13.657728154692062,42,Pineta degli atleti,161,4.120192337593681,0.8641,53512,0.8457346481989251,0.2777777777777778,0.4589960159808504,31,3,8,1
Napoli,0.0374887498445664,0.0,36,Parco pubblico Tortora Brayda,127,4.120406214579147,0.992,57797,1.2576864384812736,0.3888888888888889,0.4342901411047604,23,6,7,1
Napoli,0.0232683127898874,15.323715179589785,38,Parco Borbonico del Fusaro,61,4.132545334568568,0.9967,42504,1.1165107682127633,0.3888888888888889,0.5585754721992829,26,5,7,1
Napoli,0.0093689846379291,0.4909726151802364,78,Giardini di Piazza Cavour,121,4.137152361002174,0.9909,64798,0.9543142456904408,0.3333333333333333,0.9005828000202395,24,2,52,1
Napoli,0.0082285047982762,15.19275284471268,23,Parco Punta Verde,384,4.132999778468809,0.9413,39578,1.1580510496905323,0.2777777777777778,0.5060698710585498,13,3,7,1
Napoli,0.0183485635284474,24.37153367612294,23,Il giardino sul mare dell'incanto,98,4.133059047198284,0.997,62721,1.4546292547143718,0.3888888888888889,0.5956301085336702,12,2,9,1
Toulouse,0.0052462678716719,84.50780877908815,116,Port de la Daurade,54,3.969048784023775,0.9903,50955,1.7027646717549094,0.6666666666666666,0.221415914427723,23,7,86,1
Toulouse,0.0958292686621677,1.365522477327975,118,Jardins du Barry,344,3.946597892888498,0.9825,56171,1.3900887341650408,0.6111111111111112,0.2046182126016505,78,1,39,1
Toulouse,0.0803088024051138,0.0,133,Parc de la Maourine,469,4.002895255376942,0.9829,45703,1.311264985266796,0.7222222222222222,0.7444511413423428,91,3,39,1
Toulouse,0.4850201461804104,8.323313728008403,117,Zone verte des Argoulets,178,3.9761863667958672,0.8689,62557,1.7670787234157448,0.6111111111111112,0.6550825283181954,38,3,76,1
Toulouse,0.0902909412003656,29.488117835243123,76,Parc de l'Armurier,29,3.966225955700199,0.9442,57905,0.9770795905156032,0.2777777777777778,0.4325326227821305,32,1,43,1
Toulouse,0.0836573221218846,11.72824735752197,82,Parc du Pigeonnier,42,3.9593367365476144,0.8917,49077,1.6008303070168823,0.4444444444444444,0.5421121661821057,36,0,46,1
Toulouse,0.0139877534733526,0.0,20,Jardin Edmond Michelet,205,3.969760663229435,0.8114,46904,1.6525902233018677,0.3888888888888889,0.4226355756570278,12,1,7,1
Toulouse,0.1283969921182245,4.188312906097698,32,Parc de Mange-Pommes,619,4.002465684470328,0.9793,47070,2.028783390586009,0.6111111111111112,0.4938538434753984,13,1,18,1
Toulouse,0.573828339928173,0.0,54,Les Ramiers,382,4.00359794677925,0.9959,38516,1.6756863886528932,0.4444444444444444,0.5239946160887294,27,1,26,1
Toulouse,0.0070723345301542,2.2897728079462167,14,Jardin des Hauts de Bonnefoy,109,3.967221472260716,0.992,50095,1.4306853360872926,0.3333333333333333,0.3622257452779158,8,1,5,1
Toulouse,0.0406818143776361,4.026864588319768,134,Parc Le Grand Noble,53,3.971137742278505,0.9914,40254,1.160332769914867,0.5555555555555556,0.5220372516340176,46,2,86,1
Toulouse,0.0933332267111296,0.0,113,Parc des Ramiers,1226,4.072951254661771,0.997,60116,1.9004671758544145,0.6666666666666666,0.505455366000724,54,11,48,1
Toulouse,0.0106674025401384,4.453782739248628,36,Jardin du SÃÂ©minaire,538,4.018064361930088,0.9888,50678,1.652593310437973,0.4444444444444444,0.3820598064730324,14,0,22,1
